latitude,longitude,room_type,price,zipcode,zcta_housing_2020,total_units_2020,occupied_units_2020,vacant_units_2020,median_rooms_2020,owner_occupied_units_2020,rental_occupied_units_2020,median_value_2020,median_monthly_costs_2020,median_rent_2020,five_year_diff,total_units_2015,occupied_units_2015,vacant_units_2015,median_rooms_2015,owner_occupied_units_2015,rental_occupied_units_2015,median_value_2015,median_monthly_costs_2015,median_rent_2015,median_household_income_2020,median_family_income_2020,median_household_income_2015,median_family_income_2015,zipcount,class
39.9659,-82.97557,1,90,43203,43203,4894,3758.0,1136,5.2,1224,2534,188900.0,1149.0,744,102500.0,4912.0,3429.0,1483.0,5.0,822.0,2607.0,86400.0,1200.0,623.0,36418.0,35137.0,20904.0,20208.0,79.0,0
40.00899,-82.97534,0,55,43211,43211,10296,8714.0,1582,5.2,3464,5250,58200.0,795.0,871,700.0,10527.0,8079.0,2448.0,5.3,3022.0,5057.0,57500.0,853.0,762.0,28610.0,32010.0,23710.0,25253.0,47.0,0
40.1522,-82.96164,1,99,43035,43035,9508,9094.0,414,7.6,7365,1729,338600.0,2311.0,1217,74100.0,9028.0,8695.0,333.0,7.3,6983.0,1712.0,264500.0,2037.0,951.0,133643.0,144204.0,105977.0,112276.0,6.0,1
40.01257,-83.00159,0,83,43202,43202,9725,8889.0,836,4.9,2712,6177,246800.0,1613.0,976,70000.0,10551.0,9707.0,844.0,5.1,3205.0,6502.0,176800.0,1449.0,851.0,56332.0,80461.0,45152.0,72263.0,174.0,2
39.98879,-83.00255,1,146,43201,43201,15281,13106.0,2175,4.4,2215,10891,258900.0,1747.0,1094,55200.0,15115.0,11508.0,3607.0,4.6,2080.0,9428.0,203700.0,1554.0,858.0,34884.0,47014.0,25322.0,51458.0,434.0,2
40.01048,-82.92681,0,68,43219,43219,12739,11479.0,1260,5.2,5158,6321,114500.0,1214.0,960,31700.0,12401.0,10867.0,1534.0,5.1,4936.0,5931.0,82800.0,1062.0,795.0,40172.0,48690.0,33473.0,40010.0,47.0,0
39.98296,-82.99871,1,308,43201,43201,15281,13106.0,2175,4.4,2215,10891,258900.0,1747.0,1094,55200.0,15115.0,11508.0,3607.0,4.6,2080.0,9428.0,203700.0,1554.0,858.0,34884.0,47014.0,25322.0,51458.0,434.0,2
39.98992,-83.00427,1,104,43201,43201,15281,13106.0,2175,4.4,2215,10891,258900.0,1747.0,1094,55200.0,15115.0,11508.0,3607.0,4.6,2080.0,9428.0,203700.0,1554.0,858.0,34884.0,47014.0,25322.0,51458.0,434.0,2
39.96927,-82.92156,0,95,43209,43209,12965,11990.0,975,5.8,6785,5205,284300.0,1780.0,885,78300.0,12594.0,11566.0,1028.0,5.7,6527.0,5039.0,206000.0,1594.0,790.0,69290.0,102500.0,53134.0,88976.0,35.0,1
39.9661,-82.96512,1,99,43205,43205,7366,5510.0,1856,5.6,1949,3561,211600.0,1492.0,755,108800.0,7271.0,5205.0,2066.0,5.7,1791.0,3414.0,102800.0,1120.0,690.0,40559.0,44420.0,30491.0,32843.0,203.0,0
