id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
41211391,★ City View 2BR Apt w/WiFi + Garage Parking + Laundry ★,27280979,Jesse,,Franklinton,39.95684,-83.01122,Entire home/apt,138,30,16,2020-09-30,0.49,37,226,0,2019-3539
41233409,~The King's Flat w/Free Garage Parking + Washer/Dryer + Fast WiFi!~,27280979,Jesse,,Franklinton,39.95492,-83.01083,Entire home/apt,109,30,12,2022-01-15,0.37,37,256,1,2019-3537
41295649,Beautiful Two Story Home “Home Away From Home”,324405685,Tressa,,Near South,39.94244,-82.97592,Entire home/apt,76,3,15,2022-08-05,0.91,1,161,8,2021-1799
41370573,The Blue House 4BR 2BA Historic Home,111656450,Jade,,Westland,39.88286,-83.09614,Entire home/apt,163,2,113,2022-09-11,3.56,1,45,57,
41400755,Cozy North Columbus 10 min from Airport,216909466,Tracy,,North Linden,40.01508,-82.95313,Entire home/apt,185,1,71,2022-08-28,2.28,1,358,34,2020-3928
41434538,The Short North Arches Studio—CONVENTION CTR/ARENA,116400313,Nate,,Near North/University,39.97467,-83.00347,Entire home/apt,113,2,27,2022-07-20,0.99,25,165,15,2021-2791
41510465,Walkable Designer Loft w/Parking + Washer/Dryer!,27280979,Jesse,,Franklinton,39.95649,-83.01069,Entire home/apt,129,30,26,2022-01-10,0.80,37,363,1,2019-3542
41527650,Serene and Tranquility,130054171,Melissa,,Southeast,39.85384,-82.81751,Entire home/apt,146,2,99,2022-08-21,3.08,1,175,33,
41535653,★Luxury King w/Free Parking + WiFi + Washer/Dryer!★,27280979,Jesse,,Franklinton,39.9573,-83.01186,Entire home/apt,119,30,11,2021-01-09,0.34,37,78,0,2019-3541
41555933,Long St Manor,217319476,Karen,,Near East,39.96821,-82.96657,Entire home/apt,96,1,34,2022-09-05,1.06,4,320,10,2019-2519
41598713,★River View Flat - Modern 1BR w/Parking +Laundry!★,27280979,Jesse,,Franklinton,39.95709,-83.01055,Entire home/apt,109,30,16,2020-11-14,0.50,37,250,0,2019-3540
41618718,Lux Carriage House—Short North/Convention Center,116400313,Nate,,Near North/University,39.97789,-83.00714,Entire home/apt,227,2,20,2022-07-24,0.84,25,168,17,2021-2796
41630251,"3 bedroom 1.5 bath, luxurious and stately home",290555110,Omolara,,Near South,39.94896,-82.9781,Entire home/apt,125,1,8,2020-07-12,0.27,6,0,0,2020-1258
41643526,Small Cottage in German Village Area,34061514,Austin,,Near South,39.94279,-82.98707,Entire home/apt,129,1,85,2022-08-28,2.67,1,0,23,2019-3435
41771033,"Classic, Peaceful Flat in Great Location!",94337607,Alezah,,Far North,40.11593,-82.92483,Entire home/apt,96,1,102,2022-09-12,3.15,9,305,66,
41773987,The Wilson Manor - Mins to Hospital / Downtown!,115836608,Erich,,Near South,39.94301,-82.96852,Entire home/apt,134,2,21,2022-09-18,3.26,24,8,21,2022-1201
41791927,Grand Opening Stunner Close to All Things Columbus,16507907,Brian,,Clintonville,40.03089,-83.02337,Entire home/apt,189,2,56,2022-08-23,1.77,2,322,20,2020-1226
41816791,Housepitality - The City Cottage - Unique | Cozy,26958698,Benjamin,,Franklinton,39.95811,-83.0249,Entire home/apt,115,30,43,2022-09-15,1.37,107,357,21,2021-3165
41832064,Nice Cozy Quiet Location,319060373,Emmanuel,,Northeast,40.02568,-82.93206,Private room,25,30,4,2022-08-15,0.22,1,314,3,
41835219,Gas Grill | Private Backyard | Amazing Kitchen!,8963103,Sarah,,Near North/University,39.98312,-83.00794,Entire home/apt,173,2,91,2022-09-18,2.99,33,140,23,2021-2991
41836651,💎2BR/1BA w Tempur Pedic bed⭐️Backyard✔New Kitchen,175883174,Michael,,Near North/University,40.01538,-83.00058,Entire home/apt,88,2,132,2022-09-08,4.13,3,150,38,2020-1107
41862446,Housepitality - The Azure Cottage - OSU/Old North,26958698,Benjamin,,Near North/University,40.0176,-83.00987,Entire home/apt,164,1,51,2022-08-17,1.59,107,86,16,2021-3263
41911372,Anna Paradise # 5,275084618,Judy,,Northland,40.06479,-82.98205,Private room,39,4,26,2022-08-10,0.83,4,328,11,2019-2310
41996857,Short North Kennels - ELVIS SUITE,286705292,Jon,,Near North/University,39.98746,-83.00525,Entire home/apt,236,1,188,2022-09-19,5.90,2,338,85,Exempt
42013467,Standard Room - Full Service B&B,175078890,50 Lincoln,,Near North/University,39.97771,-83.00135,Private room,133,1,5,2022-06-14,0.22,3,293,2,2017-2672
42014128,Standard Suite - Full Service B&B,175078890,50 Lincoln,,Near North/University,39.97759,-83.00143,Private room,133,1,2,2022-05-14,0.09,3,273,1,2017-2672
42137255,UA CBUS Private Bedroom with en suite Bath,211169136,Jennifer,,West Olentangy,40.0503696,-83.0605863,Private room,47,1,0,,,1,206,0,
42140859,"MODERN HOME, CLOSE TO EVERYTHING, HEPA FILTERED!",232811402,Pavel,,Northland,40.08027,-82.9639,Entire home/apt,191,1,110,2022-09-18,3.48,1,331,47,2019-3604
42162063,KMPSSBLINC Bed and breakfast-hub smoke free,314409197,Kimberly,,Eastmoor/Walnut Ridge,39.94187,-82.91164,Private room,100,1,0,,,1,0,0,Exempt
42203948,Modern Downtown Luxury Apartment,224493353,Dom,,Downtown,39.9597,-83.00036,Entire home/apt,168,2,79,2022-09-13,2.56,17,324,37,2022-8851
42216821,Victorian Village Villa - A Kid Friendly Place,315729151,Rachel,,Near North/University,39.98678,-83.01008,Entire home/apt,265,1,191,2022-09-05,6.12,4,169,62,2020-1175
42256341,"Short North Flat ✰ Full Ktchn, Walk to Everything!",235497311,Marc (TailwindSTR),,Near North/University,39.98593,-83.00241,Entire home/apt,102,1,160,2022-09-11,5.06,41,84,69,2020-1114
42267219,Cozy Ohio State 1bd ⭐️ OVERLOOK High St FreeParking,235497311,Marc (TailwindSTR),,Near North/University,39.99548,-83.00613,Entire home/apt,95,1,191,2022-09-17,6.03,41,73,86,2022-2155
42349264,Light House: Bedroom 1,205251265,Omo,,Hilltop,39.91241,-83.07817,Private room,46,2,39,2022-08-27,1.25,2,62,14,2020-1241
42349639,Light House: Bedroom 2,205251265,Omo,,Hilltop,39.91147,-83.07748,Private room,42,2,45,2022-09-18,1.44,2,76,27,2020-1241
42375942,Housepitality ~ The Shiny Beaux Chateau (NEW!),26958698,Benjamin,,Franklinton,39.96064,-83.02295,Entire home/apt,153,1,51,2022-09-05,1.70,107,335,28,2021-3309
42381001,"Campus Charm ♦️ Roku TV, Walk to High St Eats!",325932974,Evan,,Near North/University,39.99875,-83.00676,Entire home/apt,82,1,101,2022-09-04,3.22,34,57,43,2022-2156
42381075,"Heart of OSU Studio ✨ FreeParking, Walk to High St",325932974,Evan,,Near North/University,39.99711,-83.00516,Entire home/apt,65,1,68,2022-08-30,2.17,34,77,38,2020-1193
42383635,High Street OSU Retreat 🌿💛 by Starbucks & Campus,325932974,Evan,,Near North/University,39.99937,-83.0055,Entire home/apt,85,1,140,2022-09-11,4.51,34,62,76,2022-2157
42385110,Easy Parking ♥ Heart of Ohio State Walk to High St,325932974,Evan,,Near North/University,39.99818,-83.00469,Entire home/apt,83,1,185,2022-09-14,5.89,34,34,80,2020-1189
42385659,The Barn Door Loft—DOWNTOWN/ARENA/CONV CENTER,116400313,Nate,,Downtown,39.964275,-82.99778,Entire home/apt,118,30,6,2022-07-29,0.19,25,133,2,2019-1915
42386187,"Ohio State Studio ✯ Free Parking, Steps to High St",325932974,Evan,,Near North/University,39.99781,-83.00544,Entire home/apt,78,1,66,2022-08-20,2.10,34,85,20,2022-2181
42386189,Kitchen / Parking / Wifi ✸ Walk to High St Studio,325932974,Evan,,Near North/University,39.99692,-83.00494,Entire home/apt,78,1,47,2022-08-13,1.50,34,60,17,2020-1198
42389362,Olde Towne Champion 2 Bedroom Townhouse,4114228,David,,Near East,39.96411,-82.96901,Entire home/apt,104,2,29,2022-09-04,0.92,1,30,12,2020-1248
42450518,Clintonville Community Home,26958698,Benjamin,,Clintonville,40.03959,-83.01355,Entire home/apt,311,1,51,2022-09-05,1.64,107,273,24,2021-3294
42519931,GermanVillage_Private Parking Children'sHospital D,249951812,Jessie,,Near South,39.94912,-82.98491,Entire home/apt,100,1,128,2022-09-13,4.11,19,105,51,2021-3107
42528461,Old Town East 1 bed sleeps 4 pet friendly Forest A,174256511,Nicholas,,Near South,39.94709,-82.97072,Entire home/apt,81,2,61,2022-09-04,1.97,32,358,18,2022-2847
42563769,Private Southern Orchards Carriage House,257425301,Aaron,,Near South,39.94407,-82.97287,Entire home/apt,140,2,68,2022-09-11,2.21,1,81,22,2020-1260
42584546,GermanVillage_Private Parking Children'sHospital C,249951812,Jessie,,Near South,39.94771,-82.98381,Entire home/apt,99,1,104,2022-09-11,3.39,19,108,34,2021-3106
42635466,German Village Pied à Terre,483306,Audra & Lacey,,Near South,39.94372,-82.98988,Entire home/apt,220,1,244,2022-09-17,7.96,3,98,111,2022-2486
42646281,Housepitality ~ The Peacock House,26958698,Benjamin,,North Linden,40.04125,-82.97399,Entire home/apt,145,30,16,2022-08-17,0.56,107,365,5,2020-1056
42688127,Hammock's By the Airport Private Suite,337918541,Darryl & Wendy,,Eastmoor/Walnut Ridge,39.95953,-82.86892,Private room,69,1,25,2022-09-10,0.91,4,168,10,
42688367,Hammock's By the Airport Large Family Getaway,337918541,Darryl & Wendy,,Eastmoor/Walnut Ridge,39.95727,-82.87087,Private room,107,1,30,2022-09-18,1.13,4,138,9,
42693464,4Bd Close to Quarterhorse/ OSU / Glen Echo,30606435,Katie,,Near North/University,40.0185,-83.00243,Entire home/apt,177,2,92,2022-08-28,3.00,1,149,40,2020-1239
42732936,Modern Ranch Living - The Guston Place,188365764,Ronnie,,Rocky Fork-Blacklick,40.06137,-82.86748,Entire home/apt,120,30,10,2022-05-18,0.34,2,331,6,
42744152,"Newly Renovated Near Franklin Park, DT & Capital U",256055700,Jake,,Near East,39.96144,-82.95467,Entire home/apt,121,2,90,2022-09-15,3.09,1,4,25,2020-1321
42862937,Beautiful 4 bedroom 2 1/2 bathroom with fireplace,224927788,Darishata,,Far East,40.01001,-82.77505,Entire home/apt,451,1,0,,,1,364,0,
42925956,Quiet room to lay your head.,341743242,Brian,,Southeast,39.86554,-82.87029,Private room,75,2,0,,,1,85,0,
